Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
41,SAT_005,"Harmon, Guam",10.67,1034.8,1745.9,YES
42,SAT_009,"Harmon, Guam",17.12,1108.3,1362.5,YES
43,SAT_012,"Harmon, Guam",26.77,1218.4,969.2,YES
44,SAT_014,"Harmon, Guam",43.35,1407.6,567.1,YES
45,SAT_016,"Harmon, Guam",74.09,1758.5,158.7,YES
46,SAT_018,"Harmon, Guam",65.1,1655.9,256.8,YES
47,SAT_019,"Harmon, Guam",37.7,1343.1,676.5,YES
48,SAT_091,"Dubbo, Australia",55.82,1550.0,377.2,YES
49,SAT_091,"Dubbo, Australia",83.42,1864.9,65.4,YES
50,SAT_075,"Alice Springs, Australia",55.91,1551.0,373.7,YES
51,SAT_003,"Obihiro, Japan",55.71,1548.7,375.1,YES
